bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_living15,price_log,basement_flag,renovated_flag,house_age
3,1.0,7.074116816197362,8.639587799629844,1.0,0,0,3,7,0.0,47.5112,-122.257,7.201170883281678,12.309986615445005,0,0,71
3,2.25,7.852050207265889,8.887790764195326,2.0,0,0,3,7,5.993961427306569,47.721,-122.319,7.43307534889858,13.195615697878253,1,1,75
2,1.0,6.647688373563329,9.210440366976517,1.0,0,0,3,6,0.0,47.7379,-122.233,7.908754738783246,12.100717685412471,0,0,93
4,3.0,7.581209826196346,8.517393171418904,1.0,0,0,5,7,6.814542897259958,47.5208,-122.393,7.215975002651466,13.311331132544721,1,0,61
3,2.0,7.427144133408616,8.997270906233448,1.0,0,0,3,8,0.0,47.6168,-122.045,7.496097345175956,13.1421679654829,0,0,39
4,4.5,8.598035579260339,11.532051392768706,1.0,0,0,3,11,7.333676395657684,47.6561,-122.005,8.46821300919452,14.018452218287162,1,0,25
3,2.25,7.447751280047908,8.827614750837508,2.0,0,0,3,7,0.0,47.3097,-122.327,7.713784616598755,12.458778882573533,0,0,31
3,1.5,6.966967138613983,9.181117513299279,1.0,0,0,3,7,0.0,47.4095,-122.315,7.409136443920128,12.583998677043747,0,0,63
3,1.0,7.484930283289661,8.918784137975802,1.0,0,0,3,7,6.594413459749778,47.5123,-122.337,7.484930283289661,12.343662665771719,1,0,66
3,2.5,7.544861068658458,8.788898309344878,2.0,0,0,3,7,0.0,47.3684,-122.031,7.779466967458324,12.685410698175234,0,0,23
3,2.5,8.177796683277778,9.189831495344642,1.0,0,0,3,8,7.438971592395862,47.6007,-122.145,7.701200180857446,13.403777346275337,1,0,61
2,1.0,7.057036981697891,8.699681400989514,1.0,0,0,4,7,5.707110264748875,47.69,-122.292,7.193685818395112,13.056225711649638,1,0,84
3,1.0,7.266128779556451,9.898575508175107,1.5,0,0,4,7,0.0,47.7558,-122.229,7.484930283289661,12.644330802262578,0,0,99
3,1.75,7.223295679562314,9.177920480720072,1.0,0,0,4,7,0.0,47.6127,-122.045,7.223295679562314,12.899222326086994,0,0,49
5,2.0,7.501634457883413,8.486940148245216,1.5,0,0,3,7,0.0,47.67,-122.394,7.215975002651466,13.180634172318978,0,0,126
4,3.0,7.989899374942939,8.517393171418904,2.0,0,3,3,9,6.878326468291325,47.5714,-122.375,7.669028288589683,13.384729180332174,1,0,47
3,2.0,7.544861068658458,9.549736900114642,2.0,0,0,3,7,0.0,47.7277,-121.962,7.544861068658458,12.886643575525625,0,0,32
4,1.0,7.3783837129967145,8.366602832783736,1.5,0,0,4,7,0.0,47.6648,-122.343,7.384610383176974,13.091906231773164,0,0,110
2,1.0,7.0909098220799835,9.19532825185568,1.0,0,0,4,7,0.0,47.3089,-122.21,6.966967138613983,12.149507585033072,0,0,105
3,1.0,7.1316985104669115,9.187583384853566,1.0,0,0,4,7,0.0,47.3343,-122.306,7.155396301896734,12.345838935721968,0,0,57
